Red,Green,Blue
0.453,0.331,0.217
0.471,0.328,0.201
0.494,0.319,0.187
0.507,0.315,0.178
0.507,0.318,0.175
0.506,0.320,0.174
0.500,0.325,0.175
0.498,0.330,0.172
0.493,0.335,0.172
0.492,0.337,0.171
0.495,0.335,0.170
0.497,0.331,0.171
0.503,0.325,0.172
0.510,0.318,0.172
0.513,0.313,0.173
0.515,0.309,0.176
0.519,0.304,0.178
0.528,0.296,0.176
0.535,0.291,0.173
0.533,0.283,0.183
0.529,0.286,0.185
0.518,0.298,0.184
0.510,0.307,0.183
0.497,0.311,0.191
0.493,0.315,0.192
0.493,0.315,0.192
0.488,0.317,0.196
0.491,0.320,0.189
0.494,0.323,0.183
0.498,0.323,0.179
0.496,0.329,0.175
0.488,0.333,0.179
0.478,0.341,0.180
0.469,0.347,0.183
0.468,0.350,0.183
0.470,0.350,0.179
0.474,0.350,0.175
0.486,0.341,0.173
0.490,0.340,0.170
0.495,0.332,0.173
0.505,0.324,0.170
0.508,0.316,0.175
0.512,0.314,0.174
0.518,0.305,0.177
0.520,0.305,0.175
0.525,0.299,0.175
0.528,0.294,0.178
0.528,0.292,0.179
0.530,0.292,0.178
0.520,0.299,0.181
0.505,0.308,0.187
0.491,0.316,0.193
0.481,0.318,0.202
0.480,0.316,0.203
0.478,0.321,0.201
0.484,0.325,0.191
0.486,0.326,0.188
0.487,0.329,0.185
0.486,0.329,0.185
0.480,0.333,0.187
0.475,0.342,0.183
0.472,0.345,0.183
0.470,0.348,0.182
0.474,0.346,0.180
0.480,0.344,0.176
0.486,0.342,0.173
0.493,0.333,0.174
0.500,0.327,0.173
0.508,0.317,0.175
0.514,0.312,0.173
0.518,0.304,0.179
0.524,0.299,0.177
0.527,0.297,0.176
0.527,0.297,0.176
0.526,0.299,0.175
0.522,0.298,0.180
0.523,0.301,0.176
0.521,0.300,0.179
0.512,0.303,0.184
0.505,0.307,0.188
0.489,0.317,0.194
0.481,0.315,0.204
0.474,0.320,0.206
0.473,0.321,0.206
0.482,0.322,0.196
0.492,0.323,0.185
0.498,0.325,0.176
0.487,0.337,0.176
0.477,0.344,0.179
0.479,0.343,0.177
0.477,0.346,0.177
0.486,0.340,0.174
0.495,0.335,0.170
0.500,0.329,0.171
0.508,0.320,0.173
0.516,0.313,0.170
0.521,0.305,0.174
0.526,0.297,0.177
0.525,0.297,0.178
0.523,0.300,0.177
0.518,0.304,0.178
0.512,0.308,0.180
0.508,0.310,0.182
0.495,0.317,0.187
0.482,0.323,0.195