Red,Green,Blue
0.467,0.276,0.257
0.475,0.275,0.250
0.474,0.276,0.250
0.466,0.282,0.252
0.465,0.283,0.253
0.462,0.280,0.258
0.464,0.286,0.250
0.467,0.278,0.256
0.476,0.274,0.250
0.482,0.271,0.247
0.489,0.272,0.239
0.494,0.271,0.235
0.494,0.264,0.241
0.494,0.266,0.241
0.493,0.267,0.240
0.481,0.278,0.241
0.466,0.288,0.247
0.467,0.293,0.240
0.464,0.290,0.246
0.471,0.286,0.243
0.473,0.284,0.243
0.480,0.280,0.240
0.464,0.286,0.250
0.470,0.289,0.241
0.465,0.291,0.244
0.455,0.295,0.250
0.463,0.287,0.250
0.464,0.286,0.250
0.476,0.274,0.250
0.484,0.269,0.247
0.495,0.268,0.237
0.495,0.263,0.242
0.505,0.257,0.238
0.500,0.260,0.240
0.500,0.260,0.240
0.500,0.260,0.240
0.500,0.261,0.239
0.505,0.258,0.237
0.511,0.256,0.233
0.505,0.258,0.237
0.512,0.256,0.233
0.506,0.266,0.228
0.500,0.264,0.236
0.492,0.270,0.238
0.483,0.283,0.233
0.481,0.278,0.241
0.473,0.291,0.236
0.474,0.281,0.246
0.471,0.294,0.235
0.481,0.278,0.241
0.481,0.288,0.231
0.482,0.286,0.232
0.475,0.288,0.237
0.476,0.286,0.238
0.464,0.290,0.246
0.468,0.290,0.242
0.460,0.286,0.254
0.475,0.279,0.246
0.483,0.276,0.241
0.481,0.278,0.241
0.479,0.271,0.250
0.481,0.269,0.250
0.480,0.280,0.240
0.500,0.271,0.229
0.500,0.268,0.232
0.509,0.263,0.228
0.508,0.262,0.230
0.500,0.268,0.232
0.490,0.275,0.235
0.489,0.277,0.234
0.487,0.282,0.231
0.474,0.289,0.237
0.474,0.289,0.237
0.488,0.279,0.233
0.472,0.283,0.245
0.481,0.278,0.241
0.476,0.286,0.238
0.467,0.293,0.240
0.447,0.306,0.247
0.417,0.330,0.252
0.414,0.336,0.250
0.417,0.333,0.250
0.417,0.331,0.252
0.448,0.305,0.248
0.464,0.289,0.247
0.472,0.281,0.247
0.482,0.277,0.241
0.476,0.274,0.250
0.474,0.276,0.250
0.474,0.276,0.250
0.474,0.276,0.250
0.479,0.274,0.247
0.481,0.272,0.247
0.481,0.278,0.241
0.482,0.277,0.241
0.477,0.279,0.244
0.482,0.277,0.241
0.478,0.278,0.244
0.477,0.284,0.239
0.472,0.281,0.247
0.474,0.278,0.247
0.476,0.282,0.243
