Red,Green,Blue
0.300,0.438,0.261
0.309,0.444,0.247
0.312,0.447,0.241
0.324,0.449,0.227
0.335,0.442,0.223
0.332,0.444,0.224
0.331,0.448,0.221
0.331,0.450,0.219
0.331,0.448,0.221
0.331,0.448,0.221
0.329,0.452,0.219
0.324,0.456,0.221
0.318,0.462,0.220
0.313,0.466,0.221
0.315,0.462,0.223
0.319,0.461,0.220
0.323,0.459,0.218
0.314,0.460,0.226
0.311,0.459,0.230
0.306,0.460,0.234
0.300,0.458,0.242
0.297,0.455,0.248
0.292,0.458,0.250
0.284,0.466,0.250
0.284,0.469,0.247
0.294,0.471,0.235
0.291,0.468,0.241
0.295,0.466,0.239
0.293,0.475,0.232
0.306,0.469,0.224
0.308,0.467,0.224
0.309,0.464,0.227
0.299,0.464,0.237
0.289,0.467,0.244
0.282,0.471,0.247
0.278,0.478,0.244
0.281,0.472,0.247
0.286,0.469,0.245
0.284,0.471,0.245
0.290,0.470,0.240
0.283,0.472,0.245
0.292,0.462,0.245
0.288,0.464,0.248
0.288,0.464,0.248
0.289,0.463,0.248
0.291,0.470,0.239
0.301,0.466,0.233
0.298,0.471,0.231
0.305,0.463,0.232
0.304,0.467,0.228
0.298,0.468,0.234
0.299,0.471,0.230
0.298,0.468,0.234
0.295,0.466,0.239
0.300,0.467,0.233
0.302,0.469,0.229
0.304,0.471,0.225
0.304,0.464,0.232
0.305,0.467,0.229
0.304,0.470,0.226
0.307,0.465,0.228
0.304,0.461,0.235
0.304,0.461,0.235
0.304,0.461,0.235
0.303,0.459,0.239
0.307,0.455,0.238
0.302,0.458,0.240
0.304,0.457,0.239
0.291,0.468,0.241
0.280,0.467,0.253
0.271,0.471,0.257
0.281,0.469,0.250
0.288,0.466,0.247
0.293,0.467,0.240
0.298,0.476,0.226
0.303,0.472,0.225
0.295,0.477,0.227
0.301,0.473,0.226
0.306,0.471,0.224
0.307,0.466,0.227
0.302,0.465,0.233
0.300,0.463,0.237
0.289,0.470,0.241
0.287,0.475,0.237
0.280,0.476,0.244
0.283,0.467,0.250
0.289,0.467,0.244
0.286,0.469,0.245
0.296,0.469,0.235
0.299,0.464,0.237
0.297,0.465,0.238
0.299,0.464,0.237
0.302,0.469,0.229
0.304,0.467,0.228
0.302,0.465,0.233
0.305,0.463,0.232
0.298,0.476,0.226
0.296,0.469,0.235
0.296,0.469,0.235
0.299,0.468,0.234
0.299,0.468,0.234
0.297,0.473,0.230
0.297,0.473,0.230
0.300,0.475,0.225
0.312,0.468,0.221
0.309,0.469,0.222
0.314,0.465,0.221
0.313,0.470,0.217
0.323,0.462,0.215
0.333,0.456,0.211
0.337,0.457,0.207
0.326,0.457,0.217
0.321,0.457,0.222
0.307,0.467,0.227
0.279,0.485,0.235
0.279,0.485,0.235
0.287,0.475,0.237
0.300,0.475,0.225
0.306,0.471,0.224
0.303,0.472,0.225
0.305,0.476,0.220
0.301,0.470,0.229
0.309,0.469,0.222
0.308,0.474,0.218
0.312,0.463,0.225
0.300,0.471,0.229
0.310,0.465,0.225
0.304,0.464,0.232
0.297,0.469,0.234
0.279,0.471,0.250
0.278,0.472,0.250
0.291,0.468,0.241
0.287,0.468,0.245
0.289,0.464,0.247
0.280,0.467,0.252
0.282,0.466,0.252
0.287,0.465,0.248
0.286,0.469,0.245
0.295,0.466,0.239
0.293,0.467,0.239
0.297,0.473,0.231
0.302,0.465,0.233
0.303,0.472,0.225
0.310,0.464,0.226
0.301,0.470,0.229
0.304,0.468,0.228
0.297,0.473,0.230
0.296,0.469,0.235
0.299,0.468,0.234
0.302,0.465,0.233
0.306,0.471,0.224
0.306,0.471,0.224
0.304,0.467,0.228
0.306,0.471,0.224
0.311,0.467,0.222
0.315,0.461,0.225
0.306,0.471,0.224
0.307,0.466,0.227
0.308,0.462,0.231
0.303,0.461,0.237
0.290,0.464,0.246
0.292,0.462,0.246
0.279,0.471,0.250
0.290,0.464,0.246
0.299,0.468,0.234
0.300,0.463,0.237
0.305,0.463,0.232
0.302,0.465,0.233
0.309,0.469,0.222
0.310,0.471,0.218
0.310,0.464,0.226
0.310,0.464,0.226
0.310,0.471,0.218
0.312,0.463,0.225
0.310,0.464,0.226
0.308,0.462,0.231
0.289,0.474,0.237
0.287,0.475,0.237
0.289,0.470,0.241
0.290,0.460,0.250
0.283,0.462,0.255
0.282,0.455,0.264
0.278,0.461,0.261
0.284,0.461,0.255
0.290,0.470,0.240
0.307,0.466,0.227
0.310,0.464,0.226
0.307,0.466,0.227
0.305,0.463,0.232
0.310,0.464,0.226
0.312,0.463,0.225
0.325,0.463,0.213
0.319,0.462,0.220
0.337,0.457,0.207
0.336,0.455,0.209
0.344,0.448,0.208
0.343,0.448,0.209
0.341,0.445,0.213
0.341,0.439,0.220
0.342,0.440,0.218
0.336,0.441,0.223
0.322,0.444,0.234
0.302,0.442,0.256
